block,cell,auroc_seed1,auroc_seed3,auroc_delta,auprc_seed1,auprc_seed3,auprc_delta,n_pos
main,UKB ecg af5,0.767,0.769,0.002,0.281,0.291,0.01,5147 (261)
main,UKB ecg hf5,0.808,0.817,0.009,0.221,0.226,0.005,5153 (127)
main,UKB ecg_mri af5,0.82,0.816,-0.004,0.337,0.337,0.0,5147 (261)
main,UKB ecg_mri hf5,0.841,0.83,-0.011,0.265,0.265,0.0,5153 (127)
main,CHS af5,0.685,0.679,-0.006,0.307,0.288,-0.019,6605 (944)
main,CHS hf5,0.722,0.72,-0.002,0.186,0.214,0.028,6314 (489)
main,MESA af5,0.714,0.709,-0.005,0.215,0.177,-0.038,7412 (436)
main,MESA hf5,0.784,0.752,-0.032,0.115,0.107,-0.008,8208 (169)
cmr_reg_r,lvm,0.793,0.788,-0.005,,,,
cmr_reg_r,lvedv,0.721,0.715,-0.006,,,,
cmr_reg_r,lvesv,0.716,0.709,-0.007,,,,
cmr_reg_r,lavmin,0.559,0.558,-0.001,,,,
cmr_reg_r,lavmax,0.526,0.527,0.0,,,,
cmr_reg_r,laef,0.44,0.45,0.01,,,,
cmr_reg_r,lvef,0.488,0.494,0.007,,,,
