cohort,outcome,subgroup,arm,n,events,auroc,lo,hi
UKBB,af5,ALL,RiskScore,5147,261,0.7898240810008422,0.7611535146944197,0.8156406881495806
UKBB,af5,ALL,ECG-FM,5147,261,0.757303296775681,0.7235019164929747,0.7879203698737341
UKBB,af5,ALL,CL(ECG),5147,261,0.7693045106591199,0.73757045699418,0.8002917280273766
UKBB,af5,ALL,CL(ECG+MRI),5147,261,0.8160139298613758,0.7881204391152766,0.8445394261185685
UKBB,af5,ALL,CL(ECG)+RS,5147,261,0.8212525269634251,0.7942059610459473,0.8459034962666027
UKBB,af5,ALL,CL(ECG+MRI)+RS,5147,261,0.8354537085393721,0.8093252792010326,0.8572955139635804
UKBB,af5,age<65,RiskScore,2886,58,0.7411903136126421,0.6778066014729551,0.8023438643125396
UKBB,af5,age<65,ECG-FM,2886,58,0.7092376725357264,0.6383628310491147,0.7786227930059016
UKBB,af5,age<65,CL(ECG),2886,58,0.6922675949860996,0.6300916329317661,0.7566773764814905
UKBB,af5,age<65,CL(ECG+MRI),2886,58,0.7701616836560503,0.7132008882846412,0.8209665201433937
UKBB,af5,age<65,CL(ECG)+RS,2886,58,0.7756974589084524,0.7219818441203726,0.8280457433058577
UKBB,af5,age<65,CL(ECG+MRI)+RS,2886,58,0.7901404672486954,0.7343295798175876,0.8394160305808905
UKBB,af5,age>=65,RiskScore,2261,203,0.7244706468090403,0.6878495310861854,0.761815060295758
UKBB,af5,age>=65,ECG-FM,2261,203,0.73057921268437,0.6914794841229948,0.7692604733659826
UKBB,af5,age>=65,CL(ECG),2261,203,0.7478888106966924,0.7056128133871423,0.787433965493305
UKBB,af5,age>=65,CL(ECG+MRI),2261,203,0.7919880126575612,0.7565636863471638,0.8273199145949724
UKBB,af5,age>=65,CL(ECG)+RS,2261,203,0.7846706592559614,0.7485975072646934,0.8169791561944976
UKBB,af5,age>=65,CL(ECG+MRI)+RS,2261,203,0.8100336545596423,0.7778879848913527,0.8419147673143853
UKBB,af5,female,RiskScore,2662,82,0.8053223671771601,0.7530844677632823,0.851651895443373
UKBB,af5,female,ECG-FM,2662,82,0.7599404424276801,0.7000415957647949,0.8202814804310834
UKBB,af5,female,CL(ECG),2662,82,0.7641307430516165,0.7033134217243335,0.8233178530913215
UKBB,af5,female,CL(ECG+MRI),2662,82,0.830702873889204,0.7839277864435621,0.8744389298544148
UKBB,af5,female,CL(ECG)+RS,2662,82,0.8292919266401967,0.7847007941009643,0.8696614435621101
UKBB,af5,female,CL(ECG+MRI)+RS,2662,82,0.8472915484968803,0.8023020656078654,0.8858078086594819
UKBB,af5,male,RiskScore,2485,179,0.7508442876731577,0.7121773052566295,0.7849250437285293
UKBB,af5,male,ECG-FM,2485,179,0.732001046577546,0.6912158348151773,0.773545874982436
UKBB,af5,male,CL(ECG),2485,179,0.7461455905652973,0.703741999253829,0.7814539857161547
UKBB,af5,male,CL(ECG+MRI),2485,179,0.7866217348960932,0.7486689750323422,0.8207635110254037
UKBB,af5,male,CL(ECG)+RS,2485,179,0.7897033243372887,0.7571855906622026,0.823430618207542
UKBB,af5,male,CL(ECG+MRI)+RS,2485,179,0.8040840750628674,0.7702784090083193,0.8370598075460179
UKBB,hf5,ALL,RiskScore,5153,127,0.7663864440343285,0.7265853389148084,0.803596142578278
UKBB,hf5,ALL,ECG-FM,5153,127,0.7968500803694802,0.7541984045169842,0.8394825646794151
UKBB,hf5,ALL,CL(ECG),5153,127,0.8169636003020514,0.7724742754996851,0.8580272347572152
UKBB,hf5,ALL,CL(ECG+MRI),5153,127,0.8295783187268723,0.7859124090164217,0.8694441267613137
UKBB,hf5,ALL,CL(ECG)+RS,5153,127,0.8241992035118173,0.782457050111076,0.8609980855457134
UKBB,hf5,ALL,CL(ECG+MRI)+RS,5153,127,0.8353631979846531,0.7988557532327957,0.8694541533631416
UKBB,hf5,age<65,RiskScore,2911,32,0.718522056269538,0.6404942037165683,0.7919416464050016
UKBB,hf5,age<65,ECG-FM,2911,32,0.7538967523445641,0.6635224904480722,0.8436325004341786
UKBB,hf5,age<65,CL(ECG),2911,32,0.7578043591524835,0.6541462693209448,0.8461842490882251
UKBB,hf5,age<65,CL(ECG+MRI),2911,32,0.7780153699201111,0.6734113136071553,0.8741982622004169
UKBB,hf5,age<65,CL(ECG)+RS,2911,32,0.781152309829802,0.7087568383119138,0.8533893061827023
UKBB,hf5,age<65,CL(ECG+MRI)+RS,2911,32,0.7997460055574852,0.728957537339354,0.8627792310698159
UKBB,hf5,age>=65,RiskScore,2242,95,0.7060378006030447,0.6497840315740445,0.7574411050915598
UKBB,hf5,age>=65,ECG-FM,2242,95,0.7756968107273307,0.7199955874782439,0.8229660726104969
UKBB,hf5,age>=65,CL(ECG),2242,95,0.8061039884293874,0.7490301032039811,0.8574659255264383
UKBB,hf5,age>=65,CL(ECG+MRI),2242,95,0.819422449930135,0.7714111489716373,0.8655521780697669
UKBB,hf5,age>=65,CL(ECG)+RS,2242,95,0.8005736278283039,0.7479012330546907,0.8494141151668178
UKBB,hf5,age>=65,CL(ECG+MRI)+RS,2242,95,0.8165224425759321,0.7670012011864781,0.8591817223543254
UKBB,hf5,female,RiskScore,2669,43,0.7976230538975185,0.7342113303459147,0.8533913990683505
UKBB,hf5,female,ECG-FM,2669,43,0.7632618360226004,0.6865214137692839,0.834488522644751
UKBB,hf5,female,CL(ECG),2669,43,0.81183690819887,0.7353906153137675,0.8734120113710835
UKBB,hf5,female,CL(ECG+MRI),2669,43,0.8355975132396961,0.7642728572946741,0.8977718344285234
UKBB,hf5,female,CL(ECG)+RS,2669,43,0.8296020120795622,0.7681421473989974,0.8884427194955632
UKBB,hf5,female,CL(ECG+MRI)+RS,2669,43,0.8466320692892187,0.7848624665686604,0.8987734462176092
UKBB,hf5,male,RiskScore,2484,84,0.7230803571428571,0.6660042162698413,0.7781194196428571
UKBB,hf5,male,ECG-FM,2484,84,0.8099255952380953,0.7546612103174604,0.8631045386904761
